Location,NCI_Statio,Lat,Long_
NCI - Bass Point - QAVS,Bass Point - QAVS,49.963743,-5.187768
NCI - Boscastle - QAVS,Boscastle - QAVS,50.689614,-4.704357
NCI - Caister,Caister,52.646143,1.735798
NCI - Calshot Tower,Calshot Tower,50.8198,-1.3095
NCI - Cape Cornwall - QAVS,Cape Cornwall - QAVS,50.1272,-5.7093
NCI - Charlestown - QAVS,Charlestown - QAVS,50.3322,-4.7465
NCI - Exmouth,Exmouth,50.613292,-3.410612
NCI - Felixstowe,Felixstowe,51.948955,1.334987
NCI - Folkestone - QAVS,Folkestone - QAVS,51.0852,1.1987
NCI - Froward Point,Froward Point,50.3367,-3.543
NCI - Gorleston,Gorleston,52.572136,1.73805
NCI - Gosport,Gosport,50.7897,-1.112
NCI - Gwennap Head - QAVS,Gwennap Head - QAVS,50.038582,-5.677559
NCI - Herne Bay,Herne Bay,51.372844,1.141614
NCI - Holehaven,Holehaven,51.512,0.5513
NCI - Lee on the Solent,Lee on the Solent,50.800414,-1.202639
NCI - Lyme Bay - QAVS,Lyme Bay - QAVS,50.697,-2.7228
NCI - Mablethorpe - QAVS,Mablethorpe - QAVS,53.3478,0.260117
NCI - Morfa Bychan,Morfa Bychan,52.756667,-4.152778
NCI - Mundesley - QAVS,Mundesley - QAVS,52.878086,1.437814
NCI - Nare Point - QAVS,Nare Point - QAVS,50.085379,-5.076499
NCI - Needles,Needles,50.6618,-1.5787
NCI - Nells Point (Barry Island),Nells Point (Barry Island),51.387861,-3.265528
NCI - Newhaven,Newhaven,50.782315,0.050125
NCI - Penzance - QAVS,Penzance - QAVS,50.124957,-5.529503
NCI - Point Lynas,Point Lynas,53.416137,-4.289377
NCI - Polruan - QAVS,Polruan - QAVS,50.327141,-4.635318
NCI - Porthdinllaen,Porthdinllaen,52.9475,-4.5667
NCI - Portland Bill - QAVS,Portland Bill - QAVS,50.521763,-2.457381
NCI - Portscatho - QAVS,Portscatho - QAVS,50.185858,-4.968158
NCI - Prawle Point - QAVS,Prawle Point - QAVS,50.202908,-3.720267
NCI - Rame Head - QAVS,Rame Head - QAVS,50.3172,-4.2198
NCI - Rhoscolyn,Rhoscolyn,53.2452,-4.6043
NCI - Rossall Point (Fleetwood),Rossall Point (Fleetwood),53.922871,-3.044534
NCI - Runton,Runton,52.9367,1.275
NCI - Shoreham,Shoreham,50.82748,-2.49049
NCI - Skegness QAVS,Skegness QAVS,53.166411,0.351
NCI - Southend,Southend,51.533286,0.080552
NCI - St Albans Head - QAVS,St Albans Head - QAVS,50.579142,-2.056872
NCI - St Mary's,St Mary's,49.928867,-6.303136
NCI - St. Agnes Head - QAVS,St. Agnes Head - QAVS,50.317542,-5.232378
NCI - St. Ives - QAVS,St. Ives - QAVS,50.2185,-5.4763
NCI - Stepper Point - QAVS,Stepper Point - QAVS,50.5677,-4.9482
NCI - Sunderland,Sunderland,54.9212,-1.3653
NCI - Swanage - QAVS,Swanage - QAVS,50.607233,-1.9448
NCI - Teignmouth,Teignmouth,50.5485,-3.4908
NCI - Torbay,Torbay,50.4548,-3.5148
NCI - Wells-next-the-Sea,Wells-next-the-Sea,52.973496,0.850126
NCI - Whitstable,Whitstable,51.365538,1.058679
NCI - Wooltack Point,Wooltack Point,51.7367,-5.2472
NCI - Worms Head,Worms Head,51.563422,-4.304392
